epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8877,1.92519,2.38067,2.02319,0.46167,0.50715,0.44511,0.20776,1.67884,1.89996,1.56928,0.0966993,6.61458e-06,6.61458e-06
2,65.5965,1.37796,1.07861,1.44809,0.6871,0.62446,0.66654,0.39922,1.39696,1.16708,1.38487,0.0933726,1.32746e-05,1.32746e-05
3,95.1947,1.29376,0.93069,1.38904,0.76984,0.66978,0.7628,0.48902,1.20696,0.9042,1.30358,0.0900459,1.99078e-05,1.99078e-05
4,124.612,1.23463,0.83771,1.35445,0.81208,0.72747,0.803,0.50857,1.23761,0.80096,1.32412,0.0867192,2.64944e-05,2.64944e-05
5,153.731,1.21688,0.79316,1.34053,0.81545,0.72794,0.82261,0.54144,1.1817,0.83739,1.27048,0.0833924,3.30144e-05,3.30144e-05
6,181.128,1.17914,0.77163,1.3214,0.8406,0.76583,0.84459,0.55446,1.1549,0.73736,1.26607,0.0800655,3.94481e-05,3.94481e-05
7,208.54,1.15322,0.71477,1.30371,0.83237,0.80683,0.87021,0.58136,1.12372,0.72458,1.24668,0.0767385,4.57763e-05,4.57763e-05
8,235.815,1.1218,0.70027,1.28586,0.84776,0.7932,0.87986,0.59847,1.11091,0.67631,1.24197,0.0734114,5.198e-05,5.198e-05
9,263.087,1.09824,0.67668,1.27701,0.87865,0.81115,0.89317,0.60871,1.08226,0.68467,1.23127,0.0700841,5.80404e-05,5.80404e-05
10,290.247,1.07231,0.64908,1.27235,0.8756,0.79748,0.88911,0.60054,1.10798,0.6692,1.24028,0.0667566,6.39396e-05,6.39396e-05
11,317.448,1.06673,0.64929,1.26407,0.89318,0.80108,0.9043,0.61432,1.05294,0.67756,1.21729,0.063429,6.96599e-05,6.96599e-05
12,344.679,1.04945,0.62717,1.25961,0.87483,0.85072,0.91386,0.63921,1.03137,0.63325,1.21804,0.0601012,7.51844e-05,7.51844e-05
13,372.005,1.0403,0.62093,1.26251,0.9085,0.84294,0.92448,0.64907,1.01688,0.60908,1.21314,0.0567732,8.04966e-05,8.04966e-05
14,399.298,1.02212,0.61787,1.24314,0.88683,0.82874,0.92058,0.64571,1.04113,0.60856,1.21663,0.053445,8.55811e-05,8.55811e-05
15,426.525,1.01669,0.59703,1.24323,0.8963,0.86434,0.93262,0.64767,1.02785,0.60812,1.20655,0.0501165,9.04228e-05,9.04228e-05
16,453.297,0.98036,0.57366,1.23219,0.91445,0.86513,0.93567,0.67487,0.96097,0.56644,1.18228,0.0467877,9.50079e-05,9.50079e-05
17,480.235,0.98005,0.56839,1.22745,0.89238,0.87987,0.93559,0.67562,0.9792,0.58296,1.18587,0.0434587,9.9323e-05,9.9323e-05
18,506.988,0.96323,0.55493,1.22136,0.91891,0.8723,0.94354,0.68987,0.94099,0.55084,1.17794,0.0401294,0.000103356,0.000103356
